name,view,length(sec),date
人為什麼是人，人類最不可思議的六個特征 ,9570618,1197,2019-09-04
南極和北極，地球上最不可思議的兩個地方 ,8558531,946,2019-08-28
【震撼】這是一部解開所有宇宙之謎的影片 ,9528412,1320,2019-08-21
天堂的證明，一個你這輩子都看不到的世界 ,7568270,1138,2019-08-14
【震撼】世間萬物的壽命，地球上唯一“永生”的生命 ,5630440,1065,2019-08-07
【月球第三部】人類無法再次登月的另一種可能 ,6795985,1179,2019-07-24
人類可以但卻不可以“瞬移”的真正原因 ,5010648,967,2019-07-17
【震撼】比特幣，人類進入虛擬世界的第一步 ,5224096,1158,2019-07-10
【射手座的人注意了】你們的守護星太危險，風速每秒三百公里，木星 ,6416188,800,2019-07-03
【震撼】5G，6G，7G，8G，愛無所不在 ,5541400,1105,2019-06-26
現代技術也無法再現的七個奇跡 ,8185432,972,2019-06-19
【震撼】智商200也無法解答，宇宙最大的謎團，時間 ,8008095,1027,2019-06-12
【震撼】這是一部你明天還會再看一遍的影片 ,8998200,1362,2019-05-29
【標題沒寫錯】最接近最接近神的男人的男人，馬斯克 ,5693500,797,2019-05-22
【重大公告】感謝長久以來大家對我們的支持，從今天開始 ,3430292,450,2019-05-18
【費米悖論】人類至今無法發現外星人的14種可能，越往後可能性越大 ,6400685,875,2019-05-15
【摩羯座的人注意了】神就來自你們的守護星 ,6756427,911,2019-05-08
這才是真的未來人，精準預言三年後將要發生的事 ,4566690,782,2019-05-01
1萬2千年前的這個裝置究竟是用來做什麼的 ,6934679,929,2019-04-25
找到了探索黑洞內部的唯一方法  ,5682176,930,2019-04-19
史上唯一一個被抓到的UFO ,3899340,794,2019-04-13
【震撼】2045年，人類究竟是滅絕還是成神 ,8550985,1119,2019-04-07
出賣靈魂的正確方法，魔鬼聖經 ,5771295,798,2019-04-01
【一個人不要看】至少需要4個人一起看的影片 ,5422731,602,2019-03-27
【震撼】地球歷史的最大謎團，大洪水 ,6400433,794,2019-03-21
人類不能知道的秘密，人族的故事 ,7582273,947,2019-03-09
真實的煉金術 ,3960813,717,2019-03-03
地球監獄說，其實人類的祖先是星際囚犯，咱們都在地球上改造 ,5293549,726,2019-02-26
中國古代全都是外星人，而且和蘇美神話居然是一樣的 ,5920941,906,2019-02-21
生命起源，地球上的生命究竟是如何產生的 ,3720021,891,2019-02-12
人類史上最強大的武器不是板凳，而是櫃子 ,4730092,895,2019-02-07
量子力學與平行宇宙與你 ,4181600,710,2019-02-02
一個平均智商超過160的組織每天都在幹什麼，CERN ,4341577,695,2019-01-29
法老的詛咒無法被解開的真正原因 ,4872692,823,2019-01-25
來自宇宙深處的非自然信號與黑暗森林法則 ,5111563,760,2019-01-20
互聯網之謎——Cicada 3301 ,4534011,787,2019-01-16
【震撼】舊約聖經中記載的人類起源才是真實的 ,5496411,936,2019-01-12
地平說，為什麼越來越多人相信地球是平的 ,5475787,779,2019-01-08
數千年前就擁有航天技術的瑪雅文明 ,4608423,813,2019-01-04
最強預言家對於2019年的五個預言，前四個都不重要 ,3649925,694,2018-12-31
【完美犯罪】又一個超超超高智商的男人 ,6743179,1357,2018-12-27
【震撼】亞特蘭蒂斯真的找到了，神，真的存在過 ,6745883,873,2018-12-23
恐龍滅絕的真正原因 ,5295130,832,2018-12-19
突然消失的百慕大三角 ,6709616,827,2018-12-15
火星，越看越像尼比魯 ,5539266,622,2018-12-11
火星上有人？NASA發佈的火星照片很神奇 ,5096857,627,2018-12-08
100年過去了，還沒有一個地球人能解開這個謎團，伏尼契手稿 ,4784677,892,2018-12-04
人類雖然無法再次登上月球，但卻可以登上太陽的真正原因 ,5460001,846,2018-11-28
山口組能夠存在上百年的真正原因 ,4575523,863,2018-11-24
【震撼】距離地球最遙遠的人造物，航海家1號 ,4258296,746,2018-11-20
蘇美王表，一塊石頭揭秘人類誕生的真相 ,5126313,768,2018-11-16
科學證明進化論才是都市傳說，人類才是外星人 ,4071480,736,2018-11-14
谷歌地圖發現巨大三角，偏偏還在51區附近 ,4628020,801,2018-11-12
最接近神的男人，特斯拉 ,4674997,759,2018-11-09
二十世紀最大謎團，通古斯大爆炸 ,4646238,713,2018-11-06
外星人造訪過地球最有力的證據，納斯卡線 ,5193300,874,2018-11-03
波羅的海下的巨大圓盤，它在這裡14萬年了 ,5702659,788,2018-10-31
史上最強怨靈，日本的高速發展居然是靠他 ,3657008,886,2018-10-28
曼德拉效應，是誰動了我的記憶 ,4167973,886,2018-10-25
谷歌的時間機器和三個時間旅行者 ,4490016,933,2018-10-22
一萬年後的世界不會比現在更先進的真正原因 ,7233592,871,2018-10-19
人類不可以再次登月的真正原因，第二集 ,4451340,729,2018-10-16
人類無法獲得永生的真正原因 ,3644321,751,2018-10-15
如果金字塔不是陵墓，裡面那個石棺究竟是什麼 ,4917833,743,2018-10-10
最簡單的加入共濟會和光明會的方法 ,4994994,817,2018-10-07
我們的地球上根本沒有樹 ,5170493,891,2018-09-28
它的下面埋藏著關於世界末日的重要信息 ,7063876,916,2018-09-25
這是一部你可以看兩遍，而且感覺截然不同的影片 ,4341191,602,2018-09-22
太陽危機，FBI緊急封鎖天文台，他們究竟在太陽上看到了什麼？ ,5178180,941,2018-09-20
看得見摸得著卻無法解釋，世界上最大的謎團，第一集 ,5944902,763,2018-09-17
你的生日數字相加等於幾？如果等於369，那你註定不平凡啊 ,6049657,710,2018-09-14
人類語言最大謎團，你能解開它嗎？,3794171,909,2018-09-08
人類不能再次登上月球的真正原因真是難以置信 ,7735428,919,2018-09-05
當失憶者慢慢回憶起自己是誰的時候，所有人都驚呆了，但結局又來大反轉 ,4932563,1105,2018-09-02
沉入海底的大陸，找了2500年，終於要找到了？ ,4880737,753,2018-08-30
用科學證明我們的世界其實就是虛擬現實（VR） ,3404643,716,2018-08-28
【完美】能夠把毒藥精準控制到這個程度的人，全世界沒幾個 ,4718665,876,2018-08-25
驚人證據揭示地下世界的存在，他們究竟是誰 ,6944290,775,2018-08-23
夢究竟是什麼？人為什麼要做夢 ,3696427,775,2018-08-20
看似簡單卻無法解釋，他究竟是怎麼進去的 ,3984256,819,2018-08-18
世界上最神秘的兩種人，一個不會數數，一個你不敢靠近 ,4678241,850,2018-08-14
跳電車后消失的“人” ,3617287,746,2018-08-09
在夢中拍的照片卻真的出現在手機上，太可怕了 ,4713697,930,2018-08-07
松果體與開天眼，你也可以得到超能力 ,3687423,600,2018-07-25
古老而神秘的恐怖職業，順便告訴你一個簡單的得到好運的方法 ,3707541,476,2018-07-17
【別說話】“他”在偷聽我們！五個和iPhone相關的都市傳說 ,3545626,635,2018-07-15
【完美犯罪】僅僅20分鐘，11萬個嫌疑人，50年的追查 ,4871299,878,2018-07-09
世界上唯一一個仍然在使用魔法的國家 ,5608119,723,2018-07-06
你的血型決定你的命運，O型血最有錢？AB型血最稀少？ ,5241980,622,2018-06-30
三個不為人知的恐怖職業實在太可怕，哪一個我也不敢做 ,4471135,605,2018-06-18
【都市傳說】兩個未來人的預言實在太準太可怕 ,5578325,626,2018-06-12
【都市傳說】一張“暗黑地圖”揭開你所不知道的世界，還有你知道LINE“已讀”功能的真正作用嗎？ ,4597838,429,2018-06-08
【心理瑕疵】什麼是心理瑕疵？在谷歌地圖上找到心理瑕疵物件的方法大公開 ,4058163,747,2018-06-08
【閱覽注意】谷歌地圖拍到真實女鬼！五個讓你不敢相信自己眼睛的谷歌坐標  ,4746566,551,2018-05-06
